json_transcriptid,companyid,date,assigned_cik,is_clean1,n_components_total
410595,269231,2013-02-05,0000032604,True,108
1239840,269231,2017-05-02,0000032604,True,132
1265192,269231,2017-08-01,0000032604,True,136
629746,260149,2014-05-07,0000018926,True,36
1349901,269231,2017-11-07,0000032604,True,62
676382,260149,2014-08-06,0000018926,True,42
721499,269231,2014-11-04,0000032604,True,110
498812,269231,2013-08-06,0000032604,True,106
542487,269231,2013-11-05,0000032604,True,101
2016748,260149,2020-05-06,0000018926,True,41
458313,269231,2013-05-07,0000032604,True,101
2423138,269231,2021-11-03,0000032604,True,57
892699,269231,2015-11-03,0000032604,True,118
2643150,269231,2022-08-09,0000032604,True,58
760563,260149,2015-02-11,0000018926,True,57
721619,260149,2014-11-05,0000018926,True,44
850340,260149,2015-08-05,0000018926,True,46
804650,260149,2015-05-05,0000018926,True,31
459573,260149,2013-05-08,0000018926,True,55
892942,260149,2015-11-04,0000018926,True,51
2127757,269231,2020-11-03,0000032604,True,96
1612479,260149,2018-11-08,0000018926,True,54
973327,260149,2016-05-04,0000018926,True,57
508419,260149,2013-08-07,0000018926,True,52
1613059,269231,2018-11-06,0000032604,True,95
1069476,269231,2016-11-01,0000032604,True,129
1339762,28606,2017-11-07,0000037785,True,80
626662,269231,2014-05-06,0000032604,True,77
1791531,28606,2019-07-31,0000037785,True,57
2428868,260149,2021-11-03,0000018926,True,52
951146,269231,2016-02-02,0000032604,True,90
931085,260149,2016-02-10,0000018926,True,65
674926,269231,2014-08-05,0000032604,True,120
1193931,260149,2017-05-03,0000018926,True,58
1462344,260149,2018-05-09,0000018926,True,62
804678,269231,2015-05-05,0000032604,True,73
2117326,260149,2020-08-05,0000018926,True,50
1538076,269231,2018-08-07,0000032604,True,132
1025085,260149,2016-08-03,0000018926,True,76
582935,260149,2014-02-12,0000018926,True,69
2203704,260149,2021-02-10,0000018926,True,48
1128322,260149,2017-02-08,0000018926,True,56
2669371,269231,2022-10-31,0000032604,True,69
1268330,260149,2017-08-02,0000018926,True,68
1803030,269231,2019-08-06,0000032604,True,110
587871,269231,2014-02-04,0000032604,True,106
544067,260149,2013-11-06,0000018926,True,36
1381789,269231,2018-02-06,0000032604,True,95
2362541,269231,2021-08-04,0000032604,True,95
417070,260149,2013-02-13,0000018926,True,71
2672642,260149,2022-11-02,0000018926,True,43
1129340,269231,2017-02-07,0000032604,True,118
1738377,260149,2019-05-08,0000018926,True,63
2361826,260149,2021-08-03,0000018926,True,57
2129398,260149,2020-11-04,0000018926,True,57
2189084,269231,2021-02-02,0000032604,True,130
2489599,260149,2022-02-09,0000018926,True,58
2163925,269231,2020-12-17,0000032604,True,61
2552669,269231,2022-05-04,0000032604,True,81
1914528,260149,2020-02-12,0000018926,True,53
1939744,269231,2020-03-11,0000032604,True,143
2270654,269231,2021-05-05,0000032604,True,80
971727,269231,2016-05-03,0000032604,True,117
1800767,260149,2019-08-07,0000018926,True,54
1022625,269231,2016-08-02,0000032604,True,121
1431744,269231,2018-04-18,0000032604,True,39
775901,269231,2015-02-03,0000032604,True,163
2271415,260149,2021-05-05,0000018926,True,54
1667004,260149,2019-02-13,0000018926,True,49
1356700,260149,2017-11-08,0000018926,True,83
2086380,269231,2020-08-04,0000032604,True,120
1904620,269231,2020-02-04,0000032604,True,92
848899,269231,2015-08-04,0000032604,True,138
1572323,260149,2018-08-08,0000018926,True,75
2614575,260149,2022-08-03,0000018926,True,53
1446697,269231,2018-05-01,0000032604,True,86
2477391,269231,2016-09-14,0000032604,True,56
1732880,269231,2019-05-07,0000032604,True,121
1861146,269231,2019-11-05,0000032604,True,123
2410192,269231,2021-10-11,0000032604,True,48
1807585,260149,2019-08-13,0000018926,True,104
3548910,260149,2018-09-12,0000018926,True,62
1392181,260149,2018-02-14,0000018926,True,49
1934792,119033497,2020-02-26,0000036047,True,57
1880782,119033497,2019-10-24,0000036047,True,74
2488190,269231,2022-02-02,0000032604,True,70
2028565,119033497,2020-04-30,0000036047,True,48
2486148,260149,2021-09-22,0000018926,True,46
2248138,269231,2021-02-16,0000032604,True,110
2231800,260149,2021-03-04,0000018926,True,34
1367278,260149,2018-01-10,0000018926,True,50
1781406,119033497,2019-07-25,0000036047,True,86
1359208,260149,2017-12-04,0000018926,True,67
2643154,260149,2022-09-07,0000018926,True,59
911750,260149,2015-12-07,0000018926,True,81
2583408,260149,2022-06-01,0000018926,True,58
1648251,269231,2019-02-05,0000032604,True,98
1624324,260149,2018-12-04,0000018926,True,83
948897,260149,2016-03-07,0000018926,True,34
694752,260149,2014-09-11,0000018926,True,43
2482944,260149,2022-01-06,0000018926,True,68
2657018,260149,2022-09-15,0000018926,True,49
2021685,269231,2020-05-13,0000032604,True,37
1676975,119033497,2019-02-27,0000036047,True,95
401411,260149,2013-01-08,0000018926,True,40
597168,260149,2014-03-05,0000018926,True,75
775755,260149,2015-03-02,0000018926,True,50
825269,260149,2015-06-04,0000018926,True,10
2295098,260149,2021-05-19,0000018926,True,13
2351941,260149,2021-06-03,0000018926,True,64
779238,260149,2015-03-09,0000018926,True,35
2457378,260149,2021-12-07,0000018926,True,63
2073414,260149,2020-08-11,0000018926,True,50
1047953,260149,2016-09-15,0000018926,True,84
2717616,260149,2022-12-06,0000018926,True,72
2248191,260149,2021-04-07,0000018926,True,77
1137008,269231,2017-02-16,0000032604,True,181
2625375,260149,2022-08-09,0000018926,True,92
651862,260149,2014-06-12,0000018926,True,38
1217084,269231,2017-05-24,0000032604,True,72
1623268,28606,2018-12-03,0000037785,True,110
948509,260149,2016-03-08,0000018926,True,52
1408343,260149,2018-02-28,0000018926,True,64
831238,260149,2015-06-24,0000018926,True,81
516884,260149,2013-09-12,0000018926,True,68
2542129,273981,2022-04-13,0000039368,True,93
2028840,260149,2020-05-29,0000018926,True,63
1470940,260149,2018-05-16,0000018926,True,55
2574645,260149,2022-05-19,0000018926,True,74
1670225,260149,2019-02-25,0000018926,True,39
1755965,260149,2019-05-29,0000018926,True,81
2104855,260149,2020-09-10,0000018926,True,31
1954331,260149,2015-01-06,0000018926,True,49
1097007,260149,2016-12-05,0000018926,True,61
1828003,260149,2019-09-18,0000018926,True,54
2588537,260149,2022-06-13,0000018926,True,45
2006706,260149,2020-05-13,0000018926,True,45
645930,260149,2014-06-03,0000018926,True,38
946176,260149,2016-03-02,0000018926,True,90
2247221,260149,2021-01-06,0000018926,True,38
1768629,260149,2017-09-12,0000018926,True,57
867865,260149,2015-09-10,0000018926,True,62
2021281,269231,2020-06-18,0000032604,True,78
561376,260149,2013-12-10,0000018926,True,63
2395420,260149,2021-09-13,0000018926,True,48
819251,260149,2015-05-18,0000018926,True,74
600450,260149,2014-03-11,0000018926,True,57
1149908,260149,2017-03-01,0000018926,True,96
1108779,260149,2017-01-04,0000018926,True,49
1152205,260149,2017-03-07,0000018926,True,51
1635497,260149,2019-01-08,0000018926,True,50
466551,260149,2013-05-16,0000018926,True,58
2159484,260149,2020-12-07,0000018926,True,67
1092890,260149,2016-11-29,0000018926,True,23
2157483,260149,2020-12-02,0000018926,True,35
1215523,260149,2017-05-22,0000018926,True,78
739208,260149,2014-12-09,0000018926,True,29
2519857,260149,2022-03-09,0000018926,True,56
1562087,260149,2018-09-06,0000018926,True,77
2099398,260149,2020-08-11,0000018926,True,66
2127825,260149,2020-09-15,0000018926,True,46
915956,260149,2016-01-06,0000018926,True,65
2074890,260149,2020-06-25,0000018926,True,18
640364,260149,2014-05-19,0000018926,True,80
1049636,260149,2016-09-21,0000018926,True,107
1398120,269231,2018-02-21,0000032604,True,11
424052,260149,2013-02-26,0000018926,True,39
1886555,260149,2019-12-10,0000018926,True,64
1279888,260149,2017-08-09,0000018926,True,111
401191,251995,2013-01-08,0000008146,True,58
401191,251995,2013-01-08,0000008146,True,58
401622,252588,2013-01-09,0000008947,True,61
403975,174004,2013-01-22,0000025212,True,9
405008,269924,2013-01-24,0000033213,True,47
405111,174901,2013-01-24,0000029905,True,106
406596,258010,2013-01-29,0000026058,True,67
407341,249841,2013-01-30,0000004447,True,70
408421,258937,2013-01-31,0000017843,True,123
410739,273056,2013-02-06,0000037472,True,6
412448,28606,2013-02-07,0000037785,True,73
412667,248450,2013-02-07,0000003453,True,40
413426,247371,2013-02-08,0000002034,True,37
413809,265154,2013-02-11,0000026076,True,53
418335,258458,2013-02-15,0000016732,True,66
418728,263171,2013-02-19,0000023111,True,104
419919,273729,2013-02-20,0000038725,True,29
