cik,json_transcriptid,companyid,date,qid,question,answer,q_char_len,a_char_len,qa_char_len,q_word_len,a_word_len,qa_word_len
0000001750,605272,168154,2014-03-20,21,Okay. And the appraised value would be above or below that?,The expectation is to make a gain.,59,34,93,11,7,18
0000001750,658565,168154,2014-07-16,6,"Looking at the guidance for '15, just wondering if you could give us some color on maybe some of the margin headwind versus '14. Is that just a matter of mix with Airlift positions coming out? Any color you could give there would help.","Yes. Kevin, that's an accurate read. I mean, I think really, you've got -- we do have a -- we have both a sales and a margin mix shift going on a little bit. And so as Airlift comes down, obviously, that puts some downward pressure. And we're -- as the Supply Chain businesses sort of kick in, they have to kind of continue to produce volume to get the margins kind of back up. So that's kind of what's happening there.",235,419,654,44,82,126
0000001750,1160665,168154,2017-03-21,2,"I mean, is this kind of high single-digit growth even forgetting the KC-10 impact, which actually would make it even higher maybe as you look out. But is this something you think is sustainable? Or was there some timing relation? Anything in this quarter that made it a little bit of aberration or no?","Nothing that stands out. I think we had good results throughout the businesses. I think we're starting to benefit from some of the investments we've made and some of the actions we've taken in prior periods. So yes, I think you can see, hopefully, continued performance coming from our parts businesses.",301,303,604,54,51,105
0000001750,1160665,168154,2017-03-21,4,"Okay, great. And just one last question just on the cost side, the $1.4 million. I guess, that's included in your numbers, right? That's -- it looks like a $0.03 impact, whatever...","Yes, yes, yes.",181,14,195,32,3,35
0000001750,2138226,168154,2020-09-24,11,"I just wanted to first ask on the MRO business. I mean, if you do see the loading like the airlines are currently indicating, are you fully staffed? Or is there any risk that you could see more demand than you can support? And just where do you stand on the labor side to support the business?","That's a great question. We are -- at this point, in order to meet the demand, we are calling back many of our employees who were out on furlough. And actually, at a couple of our sites, we are hiring beyond that furlough -- beyond employees that we're bringing back from furlough. When we furloughed, of course, but if we let people go, we did our very best to make sure that with our best people that we stayed in contact with them, and obviously, treated them right as we were downsizing. And so far in the markets, we're actually having reasonable success in attracting talent.
This is something we've been very public about. We are very focused on all of the initiatives that we had heading into COVID, our partnerships with schools, our training, everything that we could do to develop a proprietary pipeline of talent. We've done our very best through the last 6 months to keep those initiatives going because we want to make sure that as demand recovers, we've got access to the very best talent in the industry. We are aware that there are some competitors out there that are hiring as well, and we want to make sure that AAR is the employer of choice.
So short answer to your question is we're in the market. We are bringing people back from furlough. We are hiring net new people at certain sites. And so far, it's going okay. But we're very aware of what full recovery could look like and the fact that you've had people potentially permanently leave the workforce. So we got to make sure that we're getting new talent out of the schools.",293,1550,1843,57,282,339
0000001750,2400923,168154,2021-09-23,7,"Okay. That's great. And just bouncing around. I know you had a program, a contract that you exited in the quarter. Can you just comment on sort of incremental risk you see in what's left of your programs business and how we should think about any of that risk moving forward?","Yes. Good question. We feel good about the remaining portfolio. That was something that happened right after the end of the fourth quarter. and we characterize that when we announced the end of year results. And so in terms of anything new happening in this quarter, there wasn't anything. But that program contract that was situational. And I would say, kind of a one-off, and we feel good about the remaining portfolio. 
And very excited that we extended with Volotea. They've been a long-term customer. That airline is a great success story and the volume of work that we've done with them has grown as they've grown, and we're excited to be on that contract for another few years. Okay. Listen, we really appreciate everyone's interest and support, and look forward to being back here in 90 days to talk about our second quarter. Thank you.",275,844,1119,51,146,197
0000001750,2647815,168154,2022-07-21,5,"And then just as far as the CFM56 relationship with Fortress, how is that performing? You mentioned hot section opportunities there? Do you see volumes picking up there, going forward?","Yes, that's a great question. That partnership continues to go extremely well. That has been a great source of material for us to serve that narrow-body market and Fortress is doing a really fine job on delivering the commitments to material to us that they made at the beginning of the agreement.  
I mean, at this point, it's fully ramped up. And we continue to work with Fortress as they expand their business and their engine portfolio, we could see growth in that platform. But at this point, it's operating at full capacity and at the level we expected.",184,559,743,30,99,129
0000002034,580015,247371,2014-02-07,5,"I'd like to probe a little. I know you don't give guidance. But you have -- I thank you for the color on the second half. Saw your comments. It's a tough quarter comparison that we're in now because we had that $0.30 result a year ago as a result of that high-margin API. And you've told us to reduce our expectations as to whether that will repeat at all in the second half. And so you've cautioned us not to just duplicate the first half and -- as we model our projections. But during the last call, you said that, after reporting the great 40% or $0.40 result because of that API, that we should look for this quarter to be more, I think you said, of a normalized earnings level, which we see now as the $0.24. Would you say in the next 2 quarters, finishing the year, we should also look then for a more normalized level of earnings? And Douglas, if you would just give me the 6-month EBITDA.","Lester, can you just -- while I'm looking up the EBITDA, just restate the first question in terms of your question about normalized?",896,132,1028,173,23,196
0000002034,757034,247371,2015-02-06,2,"And again, this is just for a couple of the products, right?","Yes. I don't have the exact numbers in front of me. But when you look at the entire portfolio, we try to make estimates as to where there are no existing generics and where we might be first to market, which again, that's where you get the biggest bang for your buck. But by far and large, most of the approvals you get are not first to market.",60,344,404,12,68,80
0000002034,1124292,247371,2017-02-03,5,"Could you run through again your debt break down, please, in terms of what the revolver size is now and what you have drawn down? And the total debt level?","Sure. The -- you'll be able to see our balance sheet is -- was released yesterday, and our 10 -- and our Q will go out later today. But our bank facility is $375 million, which consists of a term loan A of $150 million, which is completely drawn down; and then a revolver of $225 million, of which we borrowed $115million. 1-1-5, yes. $115 million. What did I say? No, that's as you said [indiscernible]. Okay. So we borrowed $115 million of the $225 million. So we have plenty left. I'd like to ask 2 questions. If I could direct the first to Doug, please, and then I'll follow-up to Sal. At the Annual Shareholder Meeting, we had a conversation. I think I was a little confused, so I wanted to clarify today the share count outstanding going forward. 3 million shares that were the equity shares part of the total consideration for the deal, they don't vest for 3 years, December 3 years from now. Do those get counted in the fully diluted share count 3 years from now? Or at the end of this year? Can you clarify that, Doug? Sure. That's a great question, Lester. And just first of all, the amount of equity that was part of the consideration was 5.1 million shares, not 3 million. And to answer your specific question, yes, it's included -- the full 5.1 million is included in the calculation of the diluted and basic for this quarter. There's only 10 days worth. But going forward, the full 35-ish million will be in our diluted and in our basic calculation. Okay, great. And Sal, if you would, I'm going to take a stab at this. This is obviously going to be a big hockey stick here in the fourth quarter with those 22 or 25 product launches. And you cite, of course, on the slide deck all the IMS data. But some of it's genericized already, some of isn't. Could you just take a stab at that for us? Is there revenue range, what that might look like? Even a wide range in the fourth quarter? And then as a follow-up, you said that you're going to earn about flat with last year, which last year, is I think was $1.51. So we've reported $0.51 in the first half. So that would imply at least a minimum of $1 in the second half. And it's not $0.50 equal quarters, you're seeing it's going to be skewed. So you're going to probably guide us not to annualize the fourth quarter or we'll be at $2.50. So my question to you is, are you in receipt of information now in all your planning and all your knowledge of the business from your C-suite that would inform you to state empathically that you cannot earn north of $2 next year? Okay, there's a lot in there, Les. So with respect to next year, I respectfully -- let us get through our budget process. We do our budgets in May, June, July, and let us get through that. With respect to what you're saying in terms of the calculations, yes, we've done roughly the $0.52 or so for the first half of this year. We are expecting sequential improvements in Q3 and Q4, which assuming we execute on those plans, should bring us up and around $1 for the second half of this year. And then I know where you're going with the balance into 2018. And we would expect at this point, if we can execute on these launches and the rest of our plans, that we should be able to grow nicely in '18. And I think we said return to double-digit growth. Beyond that, I don't want to go because we haven't done our budgeting process. But yes, we're -- we are, at this point, doing the best we can to have 2017 be as successful as possible, but also then position us for a solid 2018. Does that fourth quarter injection of all those new products, does -- will those repeat again in the following fourth quarter? Or will you see report -- I mean, repeated orders throughout 2018? I'm trying to get a sense of how lumpy the business is. I'm not sure I'm understanding the question, Les. Could you say it again? Well, clearly, we're back to this lumpiness now with this -- for a lot of reasons. But it looks like we're going to be skewed with a lot of product launches in the fourth quarter. Once those are successfully launched, however many they are, will we see those every quarter repeat sales? Or will they -- do they tend to buy once a year in the channel? No, no. So on those products, once we get them launched, those should become part of our base and that business should repeat. Obviously, the headwind that we've been facing is industry -- intensified industry competition, price competition, et cetera. So there will be the launches and they'll become part of the fabric of the company but subject to the normal competition. That's number one. Number two, we expect the next year then to continue to launch products, in particular the balance of the Citron approved pending launch products. So the way we're looking at the business is, again, we should begin to see it start to pick up here in Q3 and grow in Q3 and Q4, consolidate those gains. There may be some other future losses that we're going to have to take into account due to general industry competition, but then continue to launch products in 2018 also. It just seemed like there's a robust future, and I'm trying to understand what informs this tone of dividends, I would call it, in the conference call and in past conference calls. I mean, you have a real earning sales and earnings power curve you're riding here. I mean, why not flesh that out? I was asking about the fourth quarter revenue. Why not -- if you remember company called Cambrex, or I can even talk about Dow Chemical, gives us a range of EBITDA and a range of revenue and a range of earnings for at least the year. Something to give The Street. I mean, I see somebody's downgraded it to hold of price target $18 today. I mean, that's silly. The stock is a double or trouble in 36 months. Why not try to get that story out and inform the investment community? That's not really a question, it's a statement.",155,5871,6026,30,1096,1126
